Source,Target,Label
"client-tabs/client-tab-content/client-contact-persons-tab/components/contact-form.js","client-tabs/client-tab-content/client-contact-persons-tab/components/errors.js","client-tabs/client-tab-content/client-contact-persons-tab/components/errors.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/contact-form.js","client-tabs/client-tab-content/client-contact-persons-tab/components/gender-selection-group.js","client-tabs/client-tab-content/client-contact-persons-tab/components/gender-selection-group.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/contact-form.js","client-tabs/client-tab-content/client-contact-persons-tab/components/passport-block.js","client-tabs/client-tab-content/client-contact-persons-tab/components/passport-block.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/contact-form.js","client-tabs/client-tab-content/client-contact-persons-tab/components/phone-email-block.js","client-tabs/client-tab-content/client-contact-persons-tab/components/phone-email-block.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/contact-form.js","client-tabs/client-tab-content/client-contact-persons-tab/components/position.js","client-tabs/client-tab-content/client-contact-persons-tab/components/position.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/contact-form.js","client-tabs/client-tab-content/client-contact-persons-tab/components/roles.js","client-tabs/client-tab-content/client-contact-persons-tab/components/roles.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/contact-form.js","client-tabs/client-tab-content/client-contact-persons-tab/components/types.js","client-tabs/client-tab-content/client-contact-persons-tab/components/types.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/contact-form.js","client-tabs/client-tab-content/client-contact-persons-tab/components/utils.js","client-tabs/client-tab-content/client-contact-persons-tab/components/utils.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/contact-form.js","client-tabs/client-tab-content/client-contact-persons-tab/components/warning.js","client-tabs/client-tab-content/client-contact-persons-tab/components/warning.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/contact-form.js","client-tabs/client-tab-content/client-general-tab/client-contacts/types/client-contacts.types.js","client-tabs/client-tab-content/client-general-tab/client-contacts/types/client-contacts.types.js"
